perfume_name,brand,rating,votes,top_notes,middle_notes,base_notes,reviewer,review_date,review_text,sentiment_raw,label,confidence,model2_label,model2_confidence,label_binary,model2_label_binary
Acqua di Parma Colonia,Acqua di Parma,4.01,1498,"Ozonic notes, Bergamot, Orange, Petitgrain","Narcissus, Jasmine Sambac, Coriander","White Musk, Cedar, Patchouli",315805 Arsen Lupen,30.05.2023,"Запредельно красивый аромат вне времени. Истинная мужская классика. В моем понимании, это запах счастья, беззаботности, тепла, благополучия и уверенности. Холодный и освежающий, с терпкими цитрусами, этот аромат сразу же поднимает настроение по нанесении. Звучание очень качественное и натуральное, никакой химозы.   Стойкость хорошая - я слышу на себе на протяжении 6-8 часов. Безусловно, под конец уже близко к коже, но первые часа 4 нормально шлейфит, окружающие слышат. При этом, он крайне легкий, воздушный и деликатный. Душить уж точно никого не будет.   Ни в коем случае не воспринимайте всерьез ахинею ниже про то, что Colonia пахнет как тройной одеколон. Уму непостижимо, как можно было такое выдумать.   Этот аромат не для обывателя. Несмотря на то, что Colonia знаменит, он не является известным широким массам. Очень маловероятно, что вы встретите человека в нем. А если встретите, пожмите этому человеку руку. Люди с хорошим вкусом заслуживают уважения.   Завершая оду этому шедевру, следует в очередной признать: это идеальный аромат на лето.  Твёрдо 10 из 10",positive,liked,0.9488,mixed,0.765,liked,not_liked
Black Pearls,Elizabeth Taylor,3.82,779,"Peach, Gardenia, Bergamot","White Rose, Lotus, Water Lily","Sandalwood, Amber, Musk",93159 Nya,02.09.2013,"Приобрела себе данный аромат по совершенно смешной цене, опираясь только на отзывы. О Боже мой, почему я не купила сразу литр!!! Это абсолютно потрясающий, замечательный парфюм! Это те духи, которые и есть сама женственность, но не кричащая, не сооблазняющая, а интеллигентная, женственность высоких причесок и платьев в пол. Для меня никакого ретро в этом аромате нет. Лишь восхитительная гардениево-ванильная пудрочка, не тяжелая, не горькая, не затхлая, а отчасти гурманская, сладкая, которой хочется укрыться с ног до головы. Поначалу еще есть немного помады, но совсем капельку.  Я в неимоверном восхищении, вот это джек-пот! Мне срочно нужен дубль и трибль :))  п.с. Мама сказала, что это странные кисло-горькие духи, пахнущие бабушкиным шкафом. А я на это ответила, что нечего лезть носом то, что ей не нравится) Потому как для меня это сладковатый запах косметички. На работе один мужчина, проходя мимо шкафа, где висела моя куртка с шарфом, надушеным Жемчужинами, воскликнул ""У кого то такой дорогой, роскошный парфюм!"" Вот вам и духи за три рубля ведро))",positive,liked,0.9845,not_liked,0.7514,liked,not_liked
Dioressence,Dior,4.11,484,Geranium,Cinnamon,Patchouli,213989 olgamoncher,05.01.2018,"Безумно красивущий шипр, но на мне выдает какую-то странную тоскливую ноту. Очень люблю шипры - они для меня такие теплые, терпкие, земные, осязаемые, ""здесь и сейчас"", меня это ужасно уютит.  И вот странное - в ""Диорессансе"", шипре, пробивается что-то вот то самое неприютное, беспокойно волнующее. Знаю, что так на меня может влиять ладан, но ладана в составе нет. Утыкаешься носом в место нанесения - вахх, какой красивый, пачули, мох, ветивер, немного красных цветов! Отодвигаешься - блин, опять эта холодная инопланетная нота, выбивающая землю из-под ног. Не знаю, вероятно, этот эффект входил в замысел парфюмеров, мол, женщина Диор такая неземная, что даже шипр на ней становится воздушным, но меня это вводит в легкую тоску и неуютие. Не корень ли ириса с фиалкой тому виной? Поделилась с приятельницей-парфюманом, та сказала - да, это корень ириса, его нота, иногда отдающая могильной землей. Вот такие неожиданные впечатления) Одним словом, отставляю красавца в сторону, до весны.  Может, на весеннем воздухе он раскроется по-другому и подружимся)",positive,liked,0.6342,not_liked,0.7515,liked,not_liked
Dioressence,Dior,4.11,484,Geranium,Cinnamon,Patchouli,144576 Тедди СПб,28.11.2015,"Один из =ВЕЛИКИХ= запахов, удивительный шипр, не похожий на другие шипры самого Диора и прочих знаменитых домов. Узнаваем всегда, несколько строг и тяжеловат по звучанию, но это органично. Зелень, мох, фиалка. пачули и корень ириса безошибочно атакуют с первого момента, а затем на коже идет свое раскрытие. В завимости от типа кожи может выдавать мускусно-ветиверный ряд или уходить к иланговым составляющим. Мой флакон куплен в Голландии в 2000 году - то есть уже винтаж с отменной стойкостью и супершлейфом. Когда моя кузина прыснула его на себя перед работой, ее босс искренне изумился, спросив ехидно, мол, у мужа стащили парфюм, уважаемая Ольга? И начал расспрашивать что это и откуда. И не поверил, что это женский запах. По сегодняшним меркам сильно унисексовый, есть сходство с =Сhamade=, =Youth Dew=/то есть имеются в наличии восточные ноты, но сильно на втором плане. Горечь имеется, но не сильная, пудровая и оттого благородная и ненавязчивая. У этого запаха есть шик, присущий ароматам старой школы, он вне времени. Десять из десяти.",positive,liked,0.8462,mixed,0.7275,liked,not_liked
Cuoium,Orto Parisi,3.96,3232,"Animal notes, Woody Notes",Violet,"Leather, Incense, Cade oil, Cedar, Labdanum, Patchouli, Vanilla",425991 Tifk,23.01.2025,"И так, впервые пишу комментарий к парфюму, и пожалуй этот шаг начну с великого и ""ужасного"" Cuoium'a.  Лично для меня, подобная парфюмерия при первом затесте в Августе оставляла только - Вау и детские капризы о мужской брутальности. Тогда я ещё не был вогнан в стенки той самой ниши-инди, которая так поглощает порой ума всех парфманьяков, и что я скажу на первую эмоцию, неокрепшего тогда носа? - кислая кожа, с сигаретно-прокуренной затхлой сладостью в виде фиалки и ванили. Поменялось ли мнение после повышения ольфакторных? Однозначно - да! Лично для меня парфюм был и остается чем-то неповторимым, начиная с аккуратности и складности парфюмерных нот в нем, до шлейфа и стойкости. Все так идеально подобрано, в таком аромате очень сложно задумываться о диффузности, но тут она огромнейшая. Старая кожаная куртка, приятные дымные благовония, животный, грязный мускус, после такого всплывает картина того самого бандита-работяги из 90-х, который выполнял за Босса всю грязную работу. Однозначно рекомендую к затесту, парфюмера любого уровня!",neutral,mixed,0.4608,liked,0.5054,not_liked,liked
By the Fireplace,Maison Margiela,4.21,24439,"Cloves, Pink Pepper, Orange Blossom","Chestnut, Guaiac Wood, Juniper","Vanilla, Peru Balsam, Cashmeran",320645 Наталия Владимировна Г.,08.01.2025,"Любила, люблю и буду любить By the Fireplace.   Теплый-теплый аромат дорогой жизни. Когда ты никуда не спешишь, живешь в свое удовольствие, покуриваешь сигару у камина, раскачиваясь в кресле-качалке, а вокруг тебя роскошный интерьер и прислуга суетится, подавая на ужин уточку, запеченную с фруктами.  В этом аромате я никогда не слышу верхних заявленных нот, для меня он начинается прямо с сердца и далее по порядку пирамиды. Да, это запах сладких каштанов, дымно-сахарной ванили, перуанского бальзама. Здесь есть и древесные ноты, но они особые, идеальные, неповторимые. Надышаться невозможно!   У аромата хорошая стойкость, особенно долго играет на шарфе и волосах.   От души рекомендую. Если не пробовали, то сделайте это обязательно.  Это тот редкий случай, когда цена на парфюм не слишком высокая, а звучит он дорого и шикарно. Унисекс. На осень и зиму.   P.S. Я и не думала, что появится что-то подобное в этом жанре, но совсем недавно открыла для себя схожий по уюту и красоте Pour R?ver Maison Violet, пробуйте, он тоже прекрасен!",positive,liked,0.988,liked,0.5601,liked,liked
Chanel No 5 Eau de Parfum,Chanel,3.6,11565,"Aldehydes, Ylang-Ylang, Neroli, Bergamot, Peach","Iris, Jasmine, Rose, Lily-of-the-Valley","Sandalwood, Oakmoss, Vanilla, Patchouli, Vetiver",281837 EastWest,17.02.2021,"Женственный, красивый аромат классика. Носила в период первого материнства. Красив для любого возраста.  На мой взгляд, девушки не хотят больше быть девушками. Огромная тенденция к унисексу, уничтожающему и женственность, и мужественность. Исчезла стеснительность, робкость, очарование, трепет и волнение, все то, что делает женщину женщиной, матерью и женой, а мужчин-мужчинами (а зачем им оставаться мужественными для тех, кто ""я сама""). Другая крайность-дешевая (а иногда и дорогая) вульгарная, откровенная сексуальность.  Не менее печальные изменения и с мужчинами. Растет тенденция на ""богатырей"" без моральной составляющей. Удивительное рядом.. А к этому плюсом культ себя во всей красе. Все, как было на закате предыдущих цивилизаций (а кто знает историю, тот знает будущее). Совсем недавний пример-под знаменем коммунизма стирались гендерные различия, а теперь под знаменем ""уникальности"" и ""свободы"". Одни и те же корни, и результат будет тот же. Печально..   Мысли вслух, никого не хочу обидеть. Возможно, кто-то и задумается..",neutral,mixed,0.4437,mixed,0.8119,not_liked,not_liked
By the Fireplace,Maison Margiela,4.21,24439,"Cloves, Pink Pepper, Orange Blossom","Chestnut, Guaiac Wood, Juniper","Vanilla, Peru Balsam, Cashmeran",418038 Sofializa,12.01.2025,"На страте мне в нос ударила гвоздика и горькие горки апельсина. Раскрытие аромат не заставляет себя ждать. Через непродолжительное вр аромат выдает сладенькую ваниль и сухую древесину. Нет дыма и горелок, очень деликатный, пряно-специевый и древесный аромат. В сердце аромата я слышу тлеющую теплую и даже смолянистую древесину, ваниль и каштаны, которые только-только были подогреты. Похоже ли на камин - да, что-то есть, но не явное. В аромате достаточно гурманской сладости, но я бы нахожу ее приторной или надоедливой. Теплый и мягкий аромат, но стойкость у него не длительная. Я ощущала его на себе 5 часов, затем он быстренько затих и захотелось обновить. Идеальный аромат для арома свечи, чтобы создать настроение уюта и тепла в зимний вечера. На себе я его практически не ощущаю, только при движении и повышении температуры. Шлейф также тихий, тот случай, когда хотелось бы более мощной композит, так как аромат, действительно, хороший. Абсолютно точно, это унисекс, для любителей теплый и уютно-древесных согревающих ароматов.",positive,liked,0.9689,liked,0.9648,liked,liked
Cuoium,Orto Parisi,3.96,3232,"Animal notes, Woody Notes",Violet,"Leather, Incense, Cade oil, Cedar, Labdanum, Patchouli, Vanilla",302446 Danny Ocean,13.03.2022,"Себя наконец протестировал его. Нанёс на шею и запястье. Честно скажи на старте вообще не зашёл, даже скорее был неприятен. Слишком животный, жёсткий, резкий.. только спустя 2-3 часа, когда животина и резкостью начинают затихать аромат прекрасным образом превращается в шедевр, уже начинаешь часто руку подносить к носу, чтобы его ощущать и чувствовать. Сейчас даже спустя 12 часов четко слышу его, несмотря на то что руки мыл раз 10-12, сейчас тоже ощущается кожа, но и чувствуется ваниль и цветочность лёгкая.  Но честно скажу, не готов терпеть 2-3 часа, пока аромат станет таким, каким он мне понравился, потому что поначалу реально он даже неприятный, и думаю окружающим он тоже в начале не сильно будет нравиться и будет отталкивать. Я сам иногда на коллеге ощущаю неприятный кожаный аромат, который слишком громкий, резкий и не очень приятный, поэтому настоятельно рекомендую перед покупкой всем ознакомиться, душиться в маленьких дозах и думать об окружающих.  Если бы он с самого начала был чуть более тихим, было бы идеально.",positive,liked,0.9205,liked,0.9699,liked,liked
By the Fireplace,Maison Margiela,4.21,24439,"Cloves, Pink Pepper, Orange Blossom","Chestnut, Guaiac Wood, Juniper","Vanilla, Peru Balsam, Cashmeran",246005 Safiya2018,09.02.2022,"Приобрела это дивное, завораживающее чудо. Это и путешествие внутрь себя, и настроение, и греющий эффект, и заряд чем-то таким... Внутренним добрым и пряным огнём. Я не люблю сладкие, ванильные ароматы, но здесь ваниль прекрасно уравновешена щедрым каштаново-апельсиноцветочным аккордом. Разнюхаю гваяк, напишу про гвоздику, если поймаю. Дополню.  Итак. На улице все теплей, и время копченых запахов уходит. Чувствую, спрячу до осени. Сейчас не хватает свежинки в нем. Хочу носить в грозу и дождь. Близкие, которым давала понюхать/затестить вспоминают самые различные запахи, связанные с горением (вплоть до аромата паяльника отца). Объединяет все воспоминания одно - это воспоминания из детства. Мне аромат кажется все более съедобным, верней, находящимся ОКОЛО еды. Кажется, его увлекающая сила тает с приближением весны. В данный момент на бороде супруга он уселся уместно и хорошо, НО надо не переборщить. Вслепую нельзя покупать, он очень своеобразный. Для меня это ароматерапия и трип,а не дополнение к образу/одежде.",positive,liked,0.9797,liked,0.981,liked,liked
By the Fireplace,Maison Margiela,4.21,24439,"Cloves, Pink Pepper, Orange Blossom","Chestnut, Guaiac Wood, Juniper","Vanilla, Peru Balsam, Cashmeran",189209 mia92,03.01.2025,"Каждый раз, когда я наношу его, первым делом ловлю этот божественный запах жареных каштанов. Прямо как те, что мы покупали в бумажных пакетиках у уличных торговцев! А этот дымный акцент от гваяка... Он настолько реалистичный, что я каждый раз невольно оглядываюсь – не горит ли где камин? Обожаю, как здесь сделана ваниль – она не приторная, не конфетная, а будто бы слегка ""подкопченная"". В паре с гвоздикой они творят что-то невероятное! Когда аромат раскрывается на коже, появляется такое уютное, почти свитерное ощущение – это, видимо, кашмеран колдует. На мне держится просто вечность, причем так классно меняется в течение дня. Утром больше дыма и пряностей, к вечеру – ваниль и каштаны. Забавно, но коллеги на работе всегда принюхиваются и спрашивают: ""А где тут костер жгут?"" Для меня By the Fireplace – это не просто парфюм, а настоящий зимний антидепрессант в флаконе. Когда хочется уюта и тепла, просто брызгаю пару раз – и вуаля, я уже мысленно грею ноги у камина с кружкой горячего какао. Магия, не иначе!",positive,liked,0.9123,liked,0.9805,liked,liked
By the Fireplace,Maison Margiela,4.21,24439,"Cloves, Pink Pepper, Orange Blossom","Chestnut, Guaiac Wood, Juniper","Vanilla, Peru Balsam, Cashmeran",423262 careyelen,01.11.2024,"Как только распыляешь аромат - отчетливо слышатся специи, всё потому что на верхних нотах гвоздика и красный перец. Кажется, будто сладкую выпечку зимой обильно посыпали пряностями.   На смену специям приходят дымные аккорды, будто рядом в камине тлеют поленья, а затем наступает приятное сладкое уютное послевкусие благодаря ванили и кашмерану.   Аромат гостиной с большой библиотекой, где много дерева, рядом греет камин, а вы сидите в кресле-качалке под пледом и перечитываете любимую книгу. За окном серость и сырость, но вам все равно - вам до бесконечности тепло и уютно в своем маленьком гнездышке.   Ещё одна прекрасная ассоциация - я вспоминаю домик семейства Уизли из Гарри Поттера в новогоднюю или осеннюю пору, тот уют и тепло от дорогих близких людей… вот так пахнет этот аромат.   Шлейф и стойкость чуть ниже среднего, но это даже хорошо, потому что этим ароматом хочется обливаться и при этом не раздражать людей вокруг.    Подойдет на прохладную осень и холодную зиму на все 10000%.",positive,liked,0.8832,mixed,0.6516,liked,not_liked
Chanel No 5 Eau de Parfum,Chanel,3.6,11565,"Aldehydes, Ylang-Ylang, Neroli, Bergamot, Peach","Iris, Jasmine, Rose, Lily-of-the-Valley","Sandalwood, Oakmoss, Vanilla, Patchouli, Vetiver",331545 en_tropy,25.09.2022,"Сегодня впервые самостоятельно ознакомилась с этим шедевром в edp. Конечно, это великое творение сразу же показалось мне знакомым и накрыло волной ностальгии. Это наверное единственный парфюм, который действительно пахнет бабушкой в хорошем смысле! А не когда мы говорим так о каких-то нотах, напоминающих ""бабушкины духи"". Просто потому, что бабушка действительно так пахла! Добром и любовью. Ведь мало что считалось крутым тогда, и считается до сих пор? Ну что мы можем смело взять у старшего поколения и использовать на себе без малейших изменений? Мне даже ничего в голову не приходит, кроме Шанели – все течёт, все меняется, все устаревает... кроме неё! Про ноты говорить долго не стану, на фоне цельной композиции ничего не могу разобрать, разве что наверное ярче всего слышу иланг в пудре. Пока не знаю, смогу ли носить на себе, ""доросла"" ли? Не в плане возраста, а в плане ""парфюмерной зрелости"", случится ли та самая влюбленность в аромат? Но в коллекции это однозначно почётное место.",positive,liked,0.5419,mixed,0.8085,liked,not_liked
Chanel No 5 Eau de Parfum,Chanel,3.6,11565,"Aldehydes, Ylang-Ylang, Neroli, Bergamot, Peach","Iris, Jasmine, Rose, Lily-of-the-Valley","Sandalwood, Oakmoss, Vanilla, Patchouli, Vetiver",344585 vanilnaya_bulochka,26.01.2023,"Не могу расчленить этот аромат на ноты. Лет 10 назад с блоттера казался ""фуууу что это"". А сейчас потянуло на элегантные парфюмы, которые пахнут не просто ""клубника"", ""роза"", ""печенье"" (такие тоже имеют место в моем гардеробе), а именно чем-то абстрактно-приятным. Вот парфюмы от Шанель мне сложно разделять на ноты. Конкретно эта пятерка окутывает меня коконом чего-то успокаивающего. Сидит близко к телу. Аромат нежнейший, тяжелым мне не кажется, наоборот, очень деликатный. Да, аромат отличается от современных модных композиций. Здесь внутри цельная цветочная смесь, присутствует на мне, правда, и мыльность. Но это все равно воспринимается просто, деликатно и привлекательно. А еще этот парфюм играет. Так и хочется именно с  ним поэкспериментировать и в такую погоду, и с таким нанесением, и с сяким.  После модных уда, кожи, гурманики, дыма, табака хочется порой обнулиться и вернуться к классике. А еще он безумно сексуален. Есть в нем какая-то телесность, томность, нега, призывность.",positive,liked,0.9101,mixed,0.4977,liked,not_liked
By the Fireplace,Maison Margiela,4.21,24439,"Cloves, Pink Pepper, Orange Blossom","Chestnut, Guaiac Wood, Juniper","Vanilla, Peru Balsam, Cashmeran",359219 Мария Матвеева,01.05.2024,"Камин. Потрескивающий стабильным мягким жаром камин, дым которого послушно уходит в трубу. А перед ним горка тёплых и душистых от близкого огня свеженарубленных дров, очищенных от коры. На подносе у кресла-качалки ложка с горьким, только что опробованным на вкус жженым сахаром и щедро приправленный ванилью домашний кекс. И да, возможно конвертик с жареными каштанами (если их, конечно, ещё не доели, коварно оставив внутри одни шкурки). А ещё высокий бокал со специями, куда вот-вот нальют горячее вино.  Невероятно уютный осенне-зимний аромат. И он был бы идеален для меня, если бы можно было чуть-чуть приглушить ваниль и сладость. Гурманские дрова это всё-таки немного странно. Но и прекрасно в тоже самое время. Обязательно познакомьтесь с этим шедевром, если переносите избыток ванили. Удивительно, что при этом всём он абсолютный унисекс. Кто-то написал про ощущение ароматической свечи. Да, иногда мелькает и такое, чуточку химозное ванильно-пряно-парафинное. Но лишь только чуточку.",positive,liked,0.9437,liked,0.974,liked,liked
Cuoium,Orto Parisi,3.96,3232,"Animal notes, Woody Notes",Violet,"Leather, Incense, Cade oil, Cedar, Labdanum, Patchouli, Vanilla",404902 Dodep,12.01.2025,"Вы уж извините, но если этот аромат и правда популярен в пикаперских кругах, то на каких женщин он рассчитан. Я люблю почти все Nasomatto и мне нравятся большинство Orto Parisi, но вот этот ""чудо"" реально создано чтобы кому-то напакостить, в сумочку там брызнуть нелюбимому коллеге, чтобы от вас отсели и все в этом духе.   Вот в Terroni и Megamare можно легко найти что-то привлекательное и своеобразное, легко можно назвать тестостероном во флаконе, то что можно понять не сразу, но спустя время это нравится самому, да и людей привлекает, а это просто запах бомжа какого-то и абсолютный победитель по антикомплиментарности. Вот к Том Форду у меня очень плохое отношение, парфюм который абсолютно точно не стоит своих денег, но есть и пара исключений и собственно говоря, а зачем нужен запах бомжа, когда есть потрясающий заезженный Ombre Leather мне вообще непонятно.   Реально запах скотобойни, конюшни, гопников в подъезде с бутылкой охоты крепкой, вызывающий вайбы Груз 200 Балабанова",neutral,mixed,0.475,not_liked,0.7513,not_liked,not_liked
Chanel No 5 Eau de Parfum,Chanel,3.6,11565,"Aldehydes, Ylang-Ylang, Neroli, Bergamot, Peach","Iris, Jasmine, Rose, Lily-of-the-Valley","Sandalwood, Oakmoss, Vanilla, Patchouli, Vetiver",329405 LilyLily1993,10.06.2023,"Сложные у нас были отношения. Несколько стадий уже позади. Было и ""фуу, что за нафталиновые бабки"", ""как это вообще легендой стало?"" С недавних пор: ""хм, а в тебе таки что-то есть...""  Самое главное, я смогла её понять. И порой мы вполне приятно проводим совместное время) Ажурная, фантазийная, со множеством ""но..."" и ""эээм..."" Есть в ней царственность, порода, и присущий этим качествам напор. Пятерка не про соблазн, тусовочки, или оду феминизму. Она гораздо сложнее и глубже. Это вообще уже и не парфюм, а музейное произведение искусства, перемахнувшее вековой рубеж. Вот Джоконда например – пришёл, посмотрел, да и ушел со своими эмоциями и мыслями. А она просто есть. Собственно, и #5  нужно оценивать как произведение искусства. Самая изумительная для меня концентрация – капля после душа. Вот где вообще не нужны танцы с бубнами, погодные условия и выбор одежды. Если бы Сh не смылись с рынка, возможно, я и добрела бы однажды до одной из облегченных версий. А там... кто знает?;)",neutral,mixed,0.5024,liked,0.978,not_liked,liked
Chanel No 5 Eau de Parfum,Chanel,3.6,11565,"Aldehydes, Ylang-Ylang, Neroli, Bergamot, Peach","Iris, Jasmine, Rose, Lily-of-the-Valley","Sandalwood, Oakmoss, Vanilla, Patchouli, Vetiver",275595 Yulita,27.06.2021,"Вот и я стала обладательницей парф воды! Подарили подруги на др. Я шла к ней долгих лет 10! Через премьерную пятерку, потом туалетку. И вот свершилось! И что удивительно, в тепле (+25) прекрасно раскрылась. Сливочная цветочность, и фрукты (не сказала бы, что именно персик), такая мягкая собирательная фруктовость. Полилась аж три раза пшиков по пять, первые полчаса конечно, все, включая собаку, отошли на расстояние. Но через полчаса прекрасно уселась мягким сливочным облаком. Очень верно подмечено ниже и про сливочное масло, и про внутреннее равновесие и баланс, и про теплоту и уютность. И да, этот аромат возможно не для работы, но он и не статусый, а такой родной, саой и невероятно сексуальный, на глубинном уровне. Отдельные ноты действительно сложно выделить, он реально абстрактный. И альдегиды в нем тёплые. Стойкость 9 часов,   шлейф умеренный, сидит достаточно интимно. Сегодня спала в нем - не задушил ни разу, но с количеством пшиков надо быть аккуратным, максимум три!",positive,liked,0.778,liked,0.9809,liked,liked
Chanel No 5 Eau de Parfum,Chanel,3.6,11565,"Aldehydes, Ylang-Ylang, Neroli, Bergamot, Peach","Iris, Jasmine, Rose, Lily-of-the-Valley","Sandalwood, Oakmoss, Vanilla, Patchouli, Vetiver",298127 Pretty Cruel,04.02.2024,"Хочется добавить отдельно комментарий о стойкости и шлейфе. Вчера была у полки Шанель в ЗЯ (я из Алматы). Нанесла из тестера 2 пшика на шерстяной шарф. Пока шла до такси, шлейф тянулся такой, что люди в ТЦ головы сворачивали. Попалось мне не самое чистое авто, в нем стоял затхлый запах снега с грязью вперемешку с непроветриваемым амбрэ других ароматов. Через 5 минут салон благоухал только Шанель, водитель поставил при мне 5 звезд, был такой веселый))) Зашла в квартиру, повесила шарф в гардероб с открытыми дверцами. За час Шанель перебил все ароматы дома и кухни, включая кошачий флер и лоток. К утру аромат распространился по всей квартире, как будто кто-то за ночь сделал генеральную уборку. Полка с ароматами Шанель появилась в Алматы в ЗЯ только в январе этого 2024 года, только 1 месяц как продают, но я не знаю где и когда были открыты тестеры. Я купила себе 35 мл, все свои ароматы я отстаиваю полгода-год после первого пшика, чтобы улучшили технические характеристики.",positive,liked,0.7495,liked,0.4793,liked,liked
Cuoium,Orto Parisi,3.96,3232,"Animal notes, Woody Notes",Violet,"Leather, Incense, Cade oil, Cedar, Labdanum, Patchouli, Vanilla",348597 Daddy,01.04.2023,"Нужно обладать ""нюхом, как у собаки"", чтобы унюхать в Cuoium Orto Parisi запах ж..., видимо собачей. Я обладаю обычным человеческим нюхом и ничего такого не унюхал. Милый, с узнаваемым почерком Alessandro Gualtieri, аромат. Стартует аромат невнятной какофонией, как будто сок цитрусовых плодов капнули в некий, одному парфюмеру Alessandro Gualtieri известный, ""химический раствор"". Но, минут через 15 блоттер начинает пахнуть ""малиновым вареньем"". Часа через 3 на блоттере стала проявляться ""кожа"", т.е. аромат в своем развитии - это ""кожа"", натертая малиновым вареньем. Причем, кожа выделки времен ""летчиков-пулеметчиков"", Валерия Чкалова и прочих наших героев покорения неба. Ближе к финалу ""брутальная кожа"" в объятиях ""малинового варенья"" сбросила с себя всю свою спесь и стала просто ""подслащенной"" обычной ""кожей"" на легком фоне любимого поклонниками творений Alessandro Gualtieri химического амбре. Аромат мне понравился, но это не мое направление в парфюмерии.",positive,liked,0.7338,not_liked,0.7515,liked,not_liked
Dioressence,Dior,4.11,484,Geranium,Cinnamon,Patchouli,124941 EVE8,27.10.2016,"У меня туалетная вода, покупала году в 12-ом. Искала старый Dioressence, в коробочке-пенале, но... Однако теперь не жалею, что в моей коллекции появился и этот Dioressence. Аромат очень достойный! Здесь он представлен как шипр, но для меня он шипр + восток.Востока даже поболее будет. И не только для меня. Некоторые знакомые мужчины тоже определяют этот аромат как восточный. Вначале он очень деревяшистый и зелёный, цитрус тут не главный,  в раскрытии теплеет, вперёд выходят ладан,  корица и специи, цветы где-то далеко и почти не слышны. Но чудеса чудесные появляются весной, в ветренную погоду на улице: несколько раз ощущала необыкновенный аромат, просто нежнейшие, неземные цветы, запах легкий, дорогой и не знакомый...Не могла понять, от кого это так пахнет. Раза с третьего вычислила, это мой Dioressence на мне  так играет. Однозначно люблю и, если ещё встретися, обязательно куплю. Стойкость не плохая, часов 5-6, на одежде ещё больше. Шлейф тоже хорош.",positive,liked,0.8099,liked,0.981,liked,liked
Chanel No 5 Eau de Parfum,Chanel,3.6,11565,"Aldehydes, Ylang-Ylang, Neroli, Bergamot, Peach","Iris, Jasmine, Rose, Lily-of-the-Valley","Sandalwood, Oakmoss, Vanilla, Patchouli, Vetiver",254757 ultracheeesee,05.05.2023,"Когда в свое время решала какую пятерку приобрести в коллекцию, эту версию отмела сразу и думала в основном между eau premiere и l’eau. EDP с блотера показался слишком, просто слишком (громким, винтажным, etс.)  Но сейчас в руки попал пробник и я прямо пожалела, что не выбрала его. Носила весной в 10 градусов и где-то через час после нанесения это нежная лаванда в сахарной пудре. Конечно, со всем уже знакомыми нотами, которые сходу выдает пятерка, но еще и ваниль и лаванда, спокойная, укутывающая, как облачко.  Сейчас тестирую в +20 и уже как будто не то, больше цитрусов и мыла, наверное даже больше на eau premiere похоже, а те ноты были больше похожи на jersey из бутиковой линейки, но даже как-то круче, интереснее. Eau premiere не выдавал на мне сладкую ваниль ни в какой из моментов носки.  Дайте этой пятерке время и воздух, она вас может приятно удивить. Но в солнечную погоду пожалуй может и придушить, и дозировка, с этим ароматом нужна дозировка.",positive,liked,0.6833,liked,0.9813,liked,liked
Acqua di Parma Colonia,Acqua di Parma,4.01,1498,"Ozonic notes, Bergamot, Orange, Petitgrain","Narcissus, Jasmine Sambac, Coriander","White Musk, Cedar, Patchouli",90641 ether_77,26.10.2014,"Покупал без предварительного затеста, в проверенном интернет магазине. Первые секунды после нанесения на запястье повергли в лёгкий шок, настолько реалистичным было сходство начальных нот с Тройным одеколоном, тем самым, который в Советские годы (для меня годы счастливого и беззаботного детства)  повсеместно использовался в лечебных целях. К счастью эта фаза продлилась недолго, далее появилось явное сходство с EAU SAUVAGE от Christian Dior. В базе остаётся сбалансированная смесь этих двух ароматов. В целом очень приятный, позитивный, освежающий аромат. Создаётся впечатление о натуральности и очень высоком качестве составляющих его компонентов. Нетленная классика! О покупке абсолютно не жалею. Думаю летом будет идеален. Из минусов отметил бы лишь несколько слабоватую стойкость, но принимая во внимание, что концентрация eau de cologne - это следует воспринимать, как должное. Для данной концентрации следовало бы выпускать флакон пообъёмнее чем 100ml.",positive,liked,0.9533,liked,0.9674,liked,liked
