title,body,date,source,sentiment_score,article_type,sectors,tickers,positive_market_impact
Засуха в России и Украине угрожает следующему урожаю пшеницы,"Российские фермеры посеяли 6,3 млн гектаров озимых культур без учета масличных, что является самым низким показателем для этого времени года за десять лет с лишним",2024-09-18,finam,1.0,finance,['Technology'],[],1.0
Российский рынок пытается продолжить рост,"Индекс МосБиржи открылся ростом, юань приближается к отметке 13 рублей",2024-09-18,finam,0.5,finance,"['Consumer Defensive', 'Financial Service']",['no tickers'],1.0
X5 будет сотрудничать с Ассоциацей добытчиков минтая,"Cоглашение нацелено на поддержку внутреннего спроса на отечественную рыбную продукцию, повышение ее доступности для покупателей",2024-09-18,finam,0.1,finance,"['Energy', 'Basic Materials', 'Real Estate', 'Financial Service']","['NVTK', 'NLMK', 'PIKK', 'SMLT', 'AALR']",1.0
Российские импортеры снова столкнулись с проблемами платежей через турецкие банки,"Давление идет с двух сторон - от турецких и европейских банков, которые подстраивают свой комплаенс под быстро меняющиеся реалии",2024-09-18,finam,1.0,finance,['Financial Service'],['IMOEX'],1.0
Трехдневный рост российского фондового рынка может смениться коррекцией,Внешний фон перед открытием торгов на российском фондовом рынке выглядит неоднозначным,2024-09-18,finam,0.1,politics,"['Financial Service', 'Utilities']","['SBER', 'VTBR']",1.0
Разработчик ПО Arenadata анонсировал IPO на Мосбирже,"По результатам IPO free-float может составить около 15%
",2024-09-18,finam,0.0,finance,"['Financial Service', 'Real Estate']",['no tickers'],0.0
ФРС примет решение по ставке – основные события 18 сентября,"Кроме того, акционеры «Черкизово» и «Банка «Санкт-Петербург» примут решение по дивидендам",2024-09-18,finam,0.5,finance,['Financial Service'],['no tickers'],1.0
Инвестплатформа Lender Invest планирует провести IPO в 2026 году,"Накануне в ходе pre-IPO компания привлекла ₽150 млн, разместив 15% капитала",2024-09-18,finam,0.5,finance,['Financial Service'],['no tickers'],1.0
Куда плывут три кита жилищного строительства России,Эксперты АКРА представили исследование о динамике развития строительной отрасли,2024-09-18,finam,-0.5,finance,"['Financial Service', 'Real Estate']",['no tickers'],0.0
"США проверяют импорт урана из Китая, чтобы не допустить обход Россией запрета","В мае текущего года, когда Байден официально подписал указ, Китай отправил в США большое количество урана, а именно 123 894 кг",2024-09-17,finam,-0.5,finance,['Consumer Cyclical'],['HYUD'],0.0
Боковик и волатильность – ближайшее будущее российского рынка,Пока рынок продолжает продвигаться вверх,2024-09-17,finam,0.1,finance,"['Financial Service', 'Consumer Cyclical', 'Industrials', 'Energy', 'Technology']","['DME', 'NBGR', 'HHRDR', 'FIXP', 'RASP']",1.0
«Аэрофлот» запускает рейсы из Москвы в Денпасар,Авиасообщение между Россией и Индонезией возобновлено впервые с 2020 года,2024-09-17,finam,-0.5,finance,['Financial Service'],[],0.0
Solidcore – от Polymetal до делистинга,Что делать инвесторам?,2024-09-17,finam,0.2,finance,"['Energy', 'Financial Service', 'Basic Materials']","['GAZP.ME', 'LKOH.ME', 'VTBR.ME', 'AKRN.ME']",1.0
«Сбер» снижает размер двух дисконтов по ипотеке,В банке связывают свое решение с ростом стоимости ОФЗ,2024-09-17,finam,0.0,finance,"['Financial Service', 'Energy']","['MOEX', 'RTSI']",0.0
Двухдневный рост исчерпался,"Большинство рыночных аналитиков считает, что фундаментальных факторов для «бычьих» настроений нет",2024-09-17,finam,1.0,finance,['Energy'],['no tickers'],1.0
ФНС начала рассылать уведомления о необходимости уплаты налога на вклады,Информация стала доступна в личных кабинетах российских налогоплательщиков,2024-09-17,finam,-0.8,finance,"['Industrials', 'Financial Service', 'Technology']","['AFLT', 'RSTI']",0.0
Минфин планирует привлечь 1 трлн руб. инвестиций от иностранных инвесторов к 2030 году,"Ключевой будет работа с ""дружественными"" инвесторами",2024-09-17,finam,0.5,finance,"['Energy', 'Financial Service', 'Industrials', 'Consumer Defensive', 'Basic Materials']","['LKOH', 'GMKN', 'ROSN', 'SNGS', 'NVTK']",1.0
Минфин ожидает IPO 30 госкомпаний до 2030 года,"Таким образом Минфин планирует достигнуть цели, поставленной президентом Путиным - рост капитализации фондового рынка до 66% от ВВП к 2030 году
",2024-09-17,finam,0.0,finance,['Financial Service'],[],0.0
ЦБ ожидает роста средств физлиц в банках в 2024 году до 16-21%,"Во 2 квартале 2024 года средства населения увеличились на 3,1 трлн рублей",2024-09-17,finam,0.0,finance,"['Industrials', 'Basic Materials']",['SGZH'],0.0
"Банк России зафиксировал рост ипотечного портфеля во 2 квартале на 6,3%",Регулятор сохранил годовой прогноз в диапазоне 7-12% с учетом более умеренных темпов во 2 полугодии после завершения массовой «Льготной ипотеки» и ужесточения условий «Семейной ипотеки»,2024-09-17,finam,-0.5,finance,['Energy'],"['SNGS', 'GAZP', 'ROSN']",0.0
"ЦБ повысил прогноз чистой прибыли банковского сектора на 2024 года до 3,8 трлн рублей",По результатам 2 квартала 2024 года российские банки заработали 770 млрд рублей чистой прибыли,2024-09-17,finam,-0.5,politics,"['Energy', 'Industrials', 'Consumer Cyclical']",['no tickers'],0.0
Объем выданных потребкредитов снижается третий месяц подряд,"По итогам августа объем выданных потребительских кредитов в России составил 544,4 млрд рублей, что на 9,2% ниже показателя за июль",2024-09-17,finam,-0.3,politics,"['Financial Service', 'Industrials', 'Energy']",['no tickers'],0.0
ПАО «ИКС 5» завершило процесс распределения акций среди держателей бумаг X5 Retail Group N.V.,"Дату начала торгов акциями ПАО «Корпоративный центр ИКС 5» на Мосбирже пока невозможно определить из-за продолжающегося судебного процесса, добавили в компании
",2024-09-17,finam,0.5,finance,['Financial Service'],['SIBN'],1.0
"Российский рынок открылся ростом, индекс МосБиржи поднимался выше 2750 пунктов","Рубль снижается к юаню, ближайший фьючерс на курс доллара растет",2024-09-17,finam,-0.7,finance,"['Basic Materials', 'Energy']","['ALRS', 'PLZL']",0.0
"Покупки на российском рынке продолжатся, внимание на сырьевые акции",Рост в нефти и золоте может поддержать интерес к акциями добывающих компаний,2024-09-17,finam,0.5,finance,['Financial Service'],"['HND', 'MOEX']",1.0
Стартует двухдневное заседание ФРС – основные события 17 сентября,"Закрывается реестр акционеров, имеющих право на получение дивидендов ТГК-14
",2024-09-17,finam,-0.5,finance,['Financial Service'],['no tickers'],0.0
Рынок на пути к 2800. Разворот ли это?,Российский фондовый рынок отыгрывает определенность с ключевой ставкой ЦБ ростом,2024-09-16,finam,0.0,politics,[],['no tickers'],0.0
НРД получил 4 млрд рублей для выплаты купона по евробондам «Россия-2043»,Минфин исполнил обязательства в соответствии с указом президента Российской Федерации от 9 сентября 2023 г. № 665,2024-09-16,finam,0.0,finance,"['Industrials', 'Financial Service']",['RZHD'],0.0
Ценовые ожидания российских предприятий выросли в сентябре,Показатель остается выше средних значений за 2023 год,2024-09-16,finam,0.0,finance,"['Financial Service', 'Industrials']",['STG'],0.0
"ЦБ повысил официальный курс доллара на 17 сентября до 91,1423 рубля","Курс евро увеличен до 101,2789 рубля",2024-09-16,finam,0.0,finance,['Real Estate'],['CIAN'],0.0
Genetico планирует увеличить уставной капитал путем размещения по закрытой подписке 7 млн акций,Закрытая допэмиссия Genetico будет направлена на погашение облигационного займа компании,2024-09-16,finam,0.5,finance,"['Healthcare', 'Financial Service']",['MDMG'],1.0
"Рынок ""зеленеет"", но вряд ли это устойчивый рост","Большинство аналитиков придерживается мнения, что регулятор с высокой степенью вероятности повысит ставку в октябре и будет держать ее длительное время",2024-09-16,finam,0.5,finance,"['Healthcare', 'Financial Service']",['MDMG'],1.0
"«Ростелеком» выплатит дивиденды за 2023 год в размере 6,06 рубля на акцию",Дата закрытия дивидендного реестра – 27 сентября,2024-09-16,finam,0.5,finance,"['Financial Service', 'Energy', 'Consumer Defensive']","['LKOH', 'GMKN', 'ROSN', 'SBER', 'TATN']",1.0
"ЦБ предлагает ввести субсидии для компаний, выходящих на рынок капитала","Поддержку могут предусмотреть для компаний, реализующих приоритетные для развития экономики проекты",2024-09-16,finam,0.8,finance,['Healthcare'],['MMCB'],1.0
Банк России считает приоритетом для финансового рынка развитие долгосрочных сбережений,ЦБ определил основные направления развития финансового рынка до 2027 года,2024-09-16,finam,0.0,finance,['Financial Service'],['NBGR'],0.0
"""Интер РАО"" предложило проекты для новой генерации электроэнергии на юге России",В августе конкурсный отбор на строительство новой генерации не состоялся,2024-09-16,finam,0.0,finance,['Financial Service'],['no tickers'],0.0
«М.Видео» и «Эльдорадо» завершили процесс объединения программ лояльности двух брендов,Более 17 млн участников программ лояльности автоматически объединены в единую систему «M.Club»,2024-09-16,finam,0.0,finance,"['Financial Service', 'Energy', 'Consumer Defensive']","['VSMO', 'BANEP', 'FIXP', 'VKCO', 'ETLN', 'SBER']",0.0
"""Селигдар"" завершил проектирование участка флотации на золотоизвлекательной фабрике Поиск",Проектная мощность золотоизвлекательной фабрики Поиск – 200 тыс. тонн скарновой руды в год,2024-09-16,finam,0.5,finance,"['Financial Service', 'Industrials', 'Real Estate', 'Energy', 'Consumer Cyclical']","['GAZP', 'LKOH', 'MTSS']",1.0
"Рынок начал неделю с покупок, нефть возобновила рост","В числе аутсайдеров - расписки Globaltrans, объявившего о намерении провести делистинг с Мосбиржи",2024-09-16,finam,0.5,finance,['Industrials'],['UTAR'],1.0
Рынок может сохранить тенденцию на рост,"Однако с технической точки зрения индекс МосБиржи продолжает движение в рамках нисходящего тренда, что говорит о сохранении рисков обновления локальных минимумов",2024-09-16,finam,0.0,finance,"['Energy', 'Industrials', 'Financial Service']","['SOVCOM', 'INGR', 'TRNCON', 'GAZP', 'TRNFP']",0.0
"""Софтлайн"" разместит допэмиссию по 142,3 руб. за акцию",Дополнительный выпуск инициирован в июне 2024 года,2024-09-16,finam,0.1,finance,"['Financial Service', 'Energy']","['SMLT', 'BRZL', 'OGKB', 'CHMF', 'PHOR']",1.0
Акционеры «Ростелекома» примут решение по дивидендам - основные события 16 сентября,"Nasdaq проведет делистинг акций Qiwi
",2024-09-16,finam,0.0,finance,"['Energy', 'Basic Materials']","['SIBN', 'GAZP', 'RUAL', 'CHMF', 'GMKN']",0.0
"Россия готова ограничить экспорт урана, титана и никеля в США","Экономические контрмеры на санкционное давление могут быть самыми разными, заявили в МИДе
",2024-09-14,finam,0.5,finance,['Energy'],['GAZP'],1.0
Правительство выделило дополнительные средства на выплаты пострадавшим в Курской области,"Единовременная выплата в рамках действующего статуса ЧС федерального масштаба составляет 15 тыс. рублей на человека
",2024-09-14,finam,0.0,finance,[],[],0.0
"Рынок акций и ключевая ставка – ожидание, торг, принятие",В этот раз все было максимально непредсказуемо,2024-09-13,finam,0.5,finance,['Industrials'],[],1.0
«Софтлайн» начнет размещение акций в рамках допэмиссии 16 сентября,"В июне совет директоров компании утвердил допэмиссию до 76,002 млн акций для финансирования сделок M&A. Размещение акций будет производиться во внебиржевом порядке ",2024-09-13,finam,-0.5,politics,[],[],0.0
В России проиндексируют утильсбор на авто с 1 октября на 70-85% в рамках долгосрочной шкалы,С 1 января каждого последующего года утильсбор будет индексироваться еще на 10-20%,2024-09-13,finam,0.1,finance,['Real Estate'],['no tickers'],1.0
"Росстат повысил оценку роста ВВП России в 1 полугодии до 4,7%","Во 2 квартале показатель вырос на 4,1% в годовом выражении",2024-09-13,finam,0.1,finance,"['Financial Service', 'Consumer Cyclical', 'Energy', 'Industrials', 'Real Estate']","['ETLN', 'NMTP', 'SVCB', 'YNDX', 'LKOH']",1.0
Globaltrans проведет делистинг с Мосбиржи,"Компания планирует выкупить расписки по цене 520 рублей за штуку
",2024-09-13,finam,0.7,finance,['Industrials'],['AVAZ'],1.0
Чистая прибыль Solidcore по МСФО в 1 полугодии снизилась на 13%,"Выручка при этом выросла на 79%
",2024-09-13,finam,0.5,finance,"['Financial Service', 'Energy']",['CBR'],1.0
"ЦБ снизил официальный курс доллара на 14 сентября до 90,9345 рубля","Курс евро увеличен до 100,7958 рубля",2024-09-13,finam,0.0,opinions,['Financial Service'],['no tickers'],0.0
"Пассажиропоток авиакомпаний России в августе вырос на 2,8%","При этом в топ-5 крупнейших перевозчиков вошли «Аэрофлот», «Сибирь» (S7), «Россия», «Победа» и «Уральские авиалинии»",2024-09-13,finam,-0.5,finance,"['Consumer Defensive', 'Financial Service']",['no tickers'],0.0
ЦБ пересмотрит прогноз по инфляции в октябре,С большой вероятностью он будет выше верхней границы  июльского прогноза,2024-09-13,finam,0.3,finance,['Energy'],"['LKOH', 'ROSN', 'GAZP']",1.0
ЦБ будет проводить консультации с МВФ,Кандидатура исполнительного директора МВФ от России согласована с Банком России,2024-09-13,finam,1.0,finance,['Energy'],[],1.0
ЦБ намерен постепенно сокращать лимит юаневого свопа,"Своп с Центральным банком стал выполнять именно роль страховки, а не фондирования",2024-09-13,finam,0.5,finance,['Financial Service'],[],1.0
ЦБ рассказал о факторах влияния на фондовый рынок в августе,Попытки обойти антисанкционное регулирование не оказали значительного влияния на траекторию фондового рынка,2024-09-13,finam,0.0,finance,"['Real Estate', 'Financial Service']",[],0.0
ЦБ на заседании обсуждал шаг повышения ставки,Всего на заседании по денежно-кредитной политике рассматривали три сценария,2024-09-13,finam,0.0,finance,['Financial Service'],['no tickers'],0.0
Набиуллина назвала условия ужесточения ДКП,"Ключевой вопрос в том, чем вызвано замедление экономического роста. В большей степени охлаждением спроса или шоками предложения?",2024-09-13,finam,-0.2,finance,['Real Estate'],[],0.0
"ЦБ жестит, рынок боится","Нервная система участников рынка, взвинченная как заседанием, так и последними геополитическими новостями и высказываниями политиков, снова подвергнется испытаниям «чертовой пятницы»",2024-09-13,finam,0.3,finance,['Energy'],"['ROSNEFT', 'LUKOIL', 'GAZP', 'TATN', 'NVTK']",1.0
C 16 сентября Банк России изменит параметры валютных свопов в юанях,Решение принято с учетом текущих ценовых тенденций в сегменте валютный своп и направлено на минимизацию влияния операций Банка России на рыночное ценообразование,2024-09-13,finam,-0.5,finance,['Financial Service'],[],0.0
"Потребительская активность и рост кредитования в России остаются высокими, полагает ЦБ",Экономика еще не вернулась к траектории сбалансированного роста,2024-09-13,finam,-0.3,finance,['Financial Service'],['no tickers'],0.0
Рынок приуныл после заседания ЦБ,"Индекс МосБиржи краткосрочно переходил к снижению, но затем вернулся к небольшому росту",2024-09-13,finam,0.5,finance,['Financial Service'],"['SBER', 'VTBR']",1.0
ЦБ допускает возможность нового повышения ставки на следующем заседании,Заседание пройдет 25 октября,2024-09-13,finam,0.5,finance,['Financial Service'],['RU000A0JXVV0'],1.0
Банк России решил повысить ключевую ставку до 19%,"ЦБ допускает возможность повышения ключевой ставки на ближайшем заседании
",2024-09-13,finam,0.0,finance,['Real Estate'],['ETLN'],0.0
"Ипотечная квартира в России стоит в среднем 5,6 млн рублей","Каждая третья сделка заключается на первичном рынке, доля ИЖС возросла",2024-09-13,finam,0.0,finance,['Financial Service'],"['SBER', 'VTBR']",0.0
"Денежная база в России за неделю выросла на 34,3 млрд рублей","Денежная база РФ в узком определении на 6 сентября составила 18 330,5 млрд рублей",2024-09-13,finam,0.0,finance,['Financial Service'],[],0.0
«Диасофт» выплатит дивиденды за 1 квартал в размере 45 рублей на акцию,"Общая сумма выплат составит 472,5 млн рублей",2024-09-13,finam,0.5,finance,['Basic Materials'],['PHOR'],1.0
Рынок начал пятницу робкими покупками,Цены на нефть продолжают повышение на фоне урагана в Мексиканском заливе,2024-09-13,finam,0.1,finance,"['Financial Service', 'Energy']","['LKOH', 'TCSG', 'AFLT', 'SIBN', 'GAZP']",1.0
«Яндекс Маркет» запустит оптовую доставку товаров из Китая,"Решение принято в условиях усложнения трансграничных платежей
",2024-09-13,finam,0.0,opinions,['Energy'],['TENEX'],0.0
Инвестиции Nordgold в добычу цинка в Якутии составят свыше 31 млрд рублей,Право на добычу полиметаллических руд на месторождении «Сардана» компания Nordgold получила благодаря приобретению в этом году «Якутского газоперерабатывающего комплекса»,2024-09-13,finam,-0.5,finance,['Financial Service'],['no tickers'],0.0
Инвесторы проявят осторожность в ожидании ставки Банка России,"Надежды на то, что ЦБ воздержится от очередного ужесточения ДКП, практически испарились",2024-09-13,finam,1.0,finance,"['Financial Service', 'Consumer Cyclical', 'Industrials', 'Energy']",['no tickers'],1.0
Минэкономики рассчитывает на более высокие цены на газ для Китая,"Цены на российский газ для Китая остаются ниже, чем для Европы и Турции",2024-09-13,finam,0.0,finance,['Financial Service'],"['SBER', 'GAZP']",0.0
